input,output
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39, -1.12]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39, -1.12, 0.1]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39, -1.12, 0.1, 1.51]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39, -1.12, 0.1, 1.51, 0.95]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39, -1.12, 0.1, 1.51, 0.95, -0.68]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39, -1.12, 0.1, 1.51, 0.95, -0.68, 0.38]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39, -1.12, 0.1, 1.51, 0.95, -0.68, 0.38, -1.38]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39, -1.12, 0.1, 1.51, 0.95, -0.68, 0.38, -1.38, -0.61]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.25, -1.14, 1.4, 1.6, 0.49, -0.19, -1.01, 0.52, -0.46, -0.23, -0.67, -3.14, 0.57, -0.92, -0.2, 0.36, -0.06, -1.16, -0.7, 1.71, 0.04, 2.11, 0.53, -0.37, -2.3, 1.48, -0.22, 0.44, -0.97, 1.29, -1.11, -0.39, -1.12, 0.1, 1.51, 0.95, -0.68, 0.38, -1.38, -0.61, 0.64]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
[-0.6],False
"[-0.6, -0.63]","[False, False]"
"[-0.6, -0.63, -2.08]","[False, False, False]"
"[-0.6, -0.63, -2.08, -0.27]","[False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86]","[False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87]","[False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07]","[False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75]","[False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12]","[False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45]","[False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35]","[False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29]","[False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03]","[False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06, 0.02]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06, 0.02, -0.42]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06, 0.02, -0.42, -1.48]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06, 0.02, -0.42, -1.48, 0.12]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06, 0.02, -0.42, -1.48, 0.12, 0.75]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06, 0.02, -0.42, -1.48, 0.12, 0.75, 0.64]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06, 0.02, -0.42, -1.48, 0.12, 0.75, 0.64, 0.64]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06, 0.02, -0.42, -1.48, 0.12, 0.75, 0.64, 0.64, 0.69]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.6, -0.63, -2.08, -0.27, -0.86, -0.87, 0.07, 0.75, -0.12, 0.45, 1.35, -0.29, 2.03, 0.36, 0.98, -1.39, 0.94, 0.47, -1.37, 0.09, 0.4, -1.45, -0.3, -0.82, 0.46, 0.51, -1.08, -0.1, -0.34, -0.72, -0.63, -1.06, 0.02, -0.42, -1.48, 0.12, 0.75, 0.64, 0.64, 0.69, 0.55]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
[-1.81],False
"[-1.81, -1.08]","[False, False]"
"[-1.81, -1.08, 0.22]","[False, False, False]"
"[-1.81, -1.08, 0.22, -0.02]","[False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57]","[False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52]","[False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23]","[False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05]","[False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15]","[False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29]","[False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23]","[False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63]","[False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64]","[False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27, 0.89]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27, 0.89, -0.6]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27, 0.89, -0.6, -1.74]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27, 0.89, -0.6, -1.74, 0.23]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27, 0.89, -0.6, -1.74, 0.23, 0.83]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27, 0.89, -0.6, -1.74, 0.23, 0.83, 0.07]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27, 0.89, -0.6, -1.74, 0.23, 0.83, 0.07, 2.75]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27, 0.89, -0.6, -1.74, 0.23, 0.83, 0.07, 2.75, -0.04]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.81, -1.08, 0.22, -0.02, -1.57, 1.52, -1.23, -0.05, 1.15, -0.29, 1.23, -0.63, -0.64, 0.27, 0.89, -0.6, -1.74, 0.23, 0.83, 0.07, 2.75, -0.04, 0.26]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
